23:40:16.694 [AWT-EventQueue-0] INFO  c.b.actions.DisableBrowserStack - Setting disable browserstack run update
23:01:56.715 [ApplicationImpl pooled thread 872] INFO  com.browserstack.utils.Helpers - null
23:01:56.716 [ApplicationImpl pooled thread 872] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:15:11.788 [ApplicationImpl pooled thread 872] INFO  c.b.l.BrowserStackRunExtension - testng
23:15:11.789 [ApplicationImpl pooled thread 872] INFO  com.browserstack.utils.Helpers - null
23:15:11.789 [ApplicationImpl pooled thread 872] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:22:41.302 [ApplicationImpl pooled thread 886] INFO  c.b.l.BrowserStackRunExtension - testng
23:22:41.302 [ApplicationImpl pooled thread 886] INFO  com.browserstack.utils.Helpers - null
23:22:41.302 [ApplicationImpl pooled thread 886] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:23:16.077 [ApplicationImpl pooled thread 872] INFO  c.b.l.BrowserStackRunExtension - testng
23:23:16.078 [ApplicationImpl pooled thread 872] INFO  com.browserstack.utils.Helpers - null
23:23:16.078 [ApplicationImpl pooled thread 872] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:31:48.772 [ApplicationImpl pooled thread 887] INFO  c.b.l.BrowserStackRunExtension - testng
23:31:48.772 [ApplicationImpl pooled thread 887] INFO  com.browserstack.utils.Helpers - null
23:31:48.773 [ApplicationImpl pooled thread 887] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:32:58.658 [ApplicationImpl pooled thread 894] INFO  c.b.l.BrowserStackRunExtension - testng
23:32:58.658 [ApplicationImpl pooled thread 894] INFO  com.browserstack.utils.Helpers - null
23:32:58.659 [ApplicationImpl pooled thread 894] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:34:18.816 [ApplicationImpl pooled thread 887] INFO  c.b.l.BrowserStackRunExtension - testng
23:34:18.816 [ApplicationImpl pooled thread 887] INFO  com.browserstack.utils.Helpers - null
23:34:18.816 [ApplicationImpl pooled thread 887] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:53:57.047 [ApplicationImpl pooled thread 903] INFO  c.b.l.BrowserStackRunExtension - testng
23:53:57.047 [ApplicationImpl pooled thread 903] INFO  com.browserstack.utils.Helpers - null
23:53:57.047 [ApplicationImpl pooled thread 903] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
